# Renewables.ninja Solar PV (Point API) - 21.216, 113.770 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Shanghai, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Shanghai", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "21.21629061336724", "lon": "113.7703808505438", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "0", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 08:00,0.174,0.053,0.157,19.962
2020-01-01 01:00,2020-01-01 09:00,0.314,0.125,0.245,19.997
2020-01-01 02:00,2020-01-01 10:00,0.380,0.132,0.318,20.031
2020-01-01 03:00,2020-01-01 11:00,0.402,0.116,0.361,19.964
2020-01-01 04:00,2020-01-01 12:00,0.403,0.106,0.372,19.839
2020-01-01 05:00,2020-01-01 13:00,0.372,0.088,0.352,19.742
2020-01-01 06:00,2020-01-01 14:00,0.309,0.065,0.300,19.700
2020-01-01 07:00,2020-01-01 15:00,0.223,0.041,0.224,19.700
2020-01-01 08:00,2020-01-01 16:00,0.112,0.016,0.125,19.723
2020-01-01 09:00,2020-01-01 17:00,0.013,0.002,0.024,19.762
2020-01-01 10:00,2020-01-01 18:00,0,0,0,19.782
2020-01-01 11:00,2020-01-01 19:00,0,0,0,19.805
2020-01-01 12:00,2020-01-01 20:00,0,0,0,19.828
2020-01-01 13:00,2020-01-01 21:00,0,0,0,19.879
2020-01-01 14:00,2020-01-01 22:00,0,0,0,19.921
2020-01-01 15:00,2020-01-01 23:00,0,0,0,20.011
2020-01-01 16:00,2020-01-02 00:00,0,0,0,20.115
2020-01-01 17:00,2020-01-02 01:00,0,0,0,20.171
2020-01-01 18:00,2020-01-02 02:00,0,0,0,20.158
2020-01-01 19:00,2020-01-02 03:00,0,0,0,20.121
2020-01-01 20:00,2020-01-02 04:00,0,0,0,20.110
2020-01-01 21:00,2020-01-02 05:00,0,0,0,20.103
2020-01-01 22:00,2020-01-02 06:00,0,0,0,20.121
2020-01-01 23:00,2020-01-02 07:00,0.014,0.001,0.027,20.136
2020-01-02 00:00,2020-01-02 08:00,0.095,0.008,0.114,20.176
2020-01-02 01:00,2020-01-02 09:00,0.218,0.034,0.226,20.239
2020-01-02 02:00,2020-01-02 10:00,0.331,0.078,0.313,20.280
2020-01-02 03:00,2020-01-02 11:00,0.411,0.127,0.362,20.190
2020-01-02 04:00,2020-01-02 12:00,0.448,0.160,0.375,20.076
2020-01-02 05:00,2020-01-02 13:00,0.435,0.161,0.357,20.001
2020-01-02 06:00,2020-01-02 14:00,0.372,0.129,0.311,19.961
2020-01-02 07:00,2020-01-02 15:00,0.257,0.068,0.237,19.933
2020-01-02 08:00,2020-01-02 16:00,0.118,0.019,0.129,19.917
2020-01-02 09:00,2020-01-02 17:00,0.014,0.003,0.026,19.958
2020-01-02 10:00,2020-01-02 18:00,0,0,0,20.022
2020-01-02 11:00,2020-01-02 19:00,0,0,0,20.118
2020-01-02 12:00,2020-01-02 20:00,0,0,0,20.219
2020-01-02 13:00,2020-01-02 21:00,0,0,0,20.299
2020-01-02 14:00,2020-01-02 22:00,0,0,0,20.370
2020-01-02 15:00,2020-01-02 23:00,0,0,0,20.450
2020-01-02 16:00,2020-01-03 00:00,0,0,0,20.514
2020-01-02 17:00,2020-01-03 01:00,0,0,0,20.557
2020-01-02 18:00,2020-01-03 02:00,0,0,0,20.587
2020-01-02 19:00,2020-01-03 03:00,0,0,0,20.624
2020-01-02 20:00,2020-01-03 04:00,0,0,0,20.658
2020-01-02 21:00,2020-01-03 05:00,0,0,0,20.723
2020-01-02 22:00,2020-01-03 06:00,0,0,0,20.893
2020-01-02 23:00,2020-01-03 07:00,0.019,0.002,0.033,21.076
2020-01-03 00:00,2020-01-03 08:00,0.124,0.020,0.135,21.235
2020-01-03 01:00,2020-01-03 09:00,0.248,0.060,0.235,21.312
2020-01-03 02:00,2020-01-03 10:00,0.371,0.136,0.307,21.264
2020-01-03 03:00,2020-01-03 11:00,0.445,0.191,0.342,21.106
2020-01-03 04:00,2020-01-03 12:00,0.522,0.316,0.317,20.947
2020-01-03 05:00,2020-01-03 13:00,0.508,0.319,0.295,20.843
2020-01-03 06:00,2020-01-03 14:00,0.440,0.263,0.263,20.799
2020-01-03 07:00,2020-01-03 15:00,0.314,0.155,0.217,20.818
2020-01-03 08:00,2020-01-03 16:00,0.148,0.045,0.138,20.893
2020-01-03 09:00,2020-01-03 17:00,0.015,0.004,0.025,21.027
2020-01-03 10:00,2020-01-03 18:00,0,0,0,21.170
2020-01-03 11:00,2020-01-03 19:00,0,0,0,21.281
2020-01-03 12:00,2020-01-03 20:00,0,0,0,21.338
2020-01-03 13:00,2020-01-03 21:00,0,0,0,21.349
2020-01-03 14:00,2020-01-03 22:00,0,0,0,21.342
2020-01-03 15:00,2020-01-03 23:00,0,0,0,21.333
2020-01-03 16:00,2020-01-04 00:00,0,0,0,21.324
2020-01-03 17:00,2020-01-04 01:00,0,0,0,21.318
2020-01-03 18:00,2020-01-04 02:00,0,0,0,21.307
2020-01-03 19:00,2020-01-04 03:00,0,0,0,21.299
2020-01-03 20:00,2020-01-04 04:00,0,0,0,21.287
2020-01-03 21:00,2020-01-04 05:00,0,0,0,21.285
2020-01-03 22:00,2020-01-04 06:00,0,0,0,21.265
2020-01-03 23:00,2020-01-04 07:00,0.044,0.022,0.043,21.176
2020-01-04 00:00,2020-01-04 08:00,0.192,0.083,0.149,21.111
2020-01-04 01:00,2020-01-04 09:00,0.357,0.217,0.208,21.103
2020-01-04 02:00,2020-01-04 10:00,0.483,0.346,0.237,21.098
2020-01-04 03:00,2020-01-04 11:00,0.532,0.368,0.279,21.003
2020-01-04 04:00,2020-01-04 12:00,0.529,0.333,0.310,20.882
2020-01-04 05:00,2020-01-04 13:00,0.461,0.224,0.329,20.809
2020-01-04 06:00,2020-01-04 14:00,0.369,0.141,0.298,20.785
2020-01-04 07:00,2020-01-04 15:00,0.253,0.072,0.228,20.814
2020-01-04 08:00,2020-01-04 16:00,0.128,0.028,0.132,20.866
2020-01-04 09:00,2020-01-04 17:00,0.018,0.005,0.028,20.975
2020-01-04 10:00,2020-01-04 18:00,0,0,0,21.074
2020-01-04 11:00,2020-01-04 19:00,0,0,0,21.147
2020-01-04 12:00,2020-01-04 20:00,0,0,0,21.196
2020-01-04 13:00,2020-01-04 21:00,0,0,0,21.214
2020-01-04 14:00,2020-01-04 22:00,0,0,0,21.222
2020-01-04 15:00,2020-01-04 23:00,0,0,0,21.249
2020-01-04 16:00,2020-01-05 00:00,0,0,0,21.276
2020-01-04 17:00,2020-01-05 01:00,0,0,0,21.255
2020-01-04 18:00,2020-01-05 02:00,0,0,0,21.250
